Brain-regions,corr,p-value,p-value(-log10),bonferroni
lh_G_precuneus_thickness,-0.089756935,0.004307053,2.365819798,non-significant
rh_G_precentral_thickness,-0.088399528,0.004932528,2.306930471,non-significant
rh_S_oc-temp_med&Lingual_thickness,-0.088373371,0.004945347,2.305803187,non-significant
lh_G_cingul-Post-ventral_thickness,-0.088152231,0.005054939,2.296284106,non-significant
lh_G_oc-temp_med-Lingual_thickness,-0.086609906,0.005882245,2.230456914,non-significant
lh_S_circular_insula_ant_thickness,-0.086581628,0.00589849,2.229259154,non-significant
lh_G_cuneus_thickness,-0.086222477,0.006108354,2.214075785,non-significant
rh_S_collat_transv_ant_thickness,-0.086202235,0.00612038,2.213221636,non-significant
rh_G&S_paracentral_thickness,-0.086088864,0.006188127,2.208440785,non-significant
lh_S_precentral-sup-part_thickness,-0.0856113,0.006480966,2.188360256,non-significant
rh_G_orbital_thickness,-0.085406607,0.00661025,2.179782132,non-significant
rh_G_temp_sup-Plan_tempo_thickness,-0.08427284,0.007369164,2.132581778,non-significant
rh_G_front_inf-Orbital_thickness,-0.08348993,0.007937855,2.100296835,non-significant
rh_S_orbital_lateral_thickness,-0.08016418,0.010815466,1.965954777,non-significant
CC_Anterior,-0.079690968,0.01129257,1.947207214,non-significant
rh_S_precentral-inf-part_thickness,-0.078962746,0.012063266,1.918535107,non-significant
rh_S_intrapariet&P_trans_thickness,-0.07747926,0.013778631,1.860793943,non-significant
lh_Lat_Fis-ant-Horizont_thickness,-0.075905948,0.015829499,1.80053284,non-significant
lh_G&S_cingul-Mid-Ant_thickness,-0.074481515,0.017912724,1.746838368,non-significant
rh_G_cingul-Post-ventral_thickness,-0.074111546,0.018491565,1.733026327,non-significant
rh_S_postcentral_thickness,-0.074110337,0.018493484,1.732981272,non-significant
rh_G_postcentral_thickness,-0.072642364,0.020954548,1.678721696,non-significant
rh_G_precuneus_thickness,-0.072422684,0.021346347,1.670676432,non-significant
rh_G&S_occipital_inf_thickness,-0.072163183,0.021817363,1.661197752,non-significant
rh_S_collat_transv_post_thickness,-0.071782821,0.022524059,1.64735334,non-significant
SurfaceHoles,-0.07148496,0.023091264,1.63655229,non-significant
Left-Accumbens-area,-0.071296677,0.023456157,1.629743144,non-significant
lhSurfaceHoles,-0.069893274,0.026336798,1.579437029,non-significant
rh_G_temp_sup-Lateral_thickness,-0.069595202,0.026986478,1.568853786,non-significant
rh_G_front_inf-Triangul_thickness,-0.068483093,0.029533809,1.52968054,non-significant
rh_G&S_subcentral_thickness,-0.068181488,0.030259262,1.51914167,non-significant
rh_S_suborbital_thickness,0.068119311,0.030410702,1.516973558,non-significant
lh_S_subparietal_thickness,-0.065815907,0.036497604,1.43773565,non-significant
rh_G_oc-temp_med-Parahip_thickness,-0.065651265,0.036969839,1.432152435,non-significant
lh_G_temporal_inf_thickness,-0.064189262,0.041395756,1.383044181,non-significant
rh_G_rectus_thickness,-0.063916838,0.042268152,1.373986738,non-significant
rh_S_front_inf_thickness,-0.061318538,0.051396557,1.289065974,non-significant
rh_S_circular_insula_ant_thickness,-0.061234989,0.051715501,1.286379264,non-significant
rhSurfaceHoles,-0.060821164,0.053319734,1.273112026,non-significant
rh_G_temp_sup-G_T_transv_thickness,-0.060398708,0.055000026,1.259637109,non-significant
lh_G_precentral_thickness,-0.060276872,0.05549273,1.255763906,non-significant
rh_S_circular_insula_inf_thickness,-0.059966071,0.056766266,1.24590967,non-significant
lh_S_interm_prim-Jensen_thickness,-0.059017624,0.060803562,1.216070975,non-significant
rh_Pole_temporal_thickness,-0.0584924,0.063139665,1.199697725,non-significant
lh_G_temporal_middle_thickness,-0.058367343,0.06370668,1.195815028,non-significant
rh_G_pariet_inf-Angular_thickness,-0.057409399,0.068190756,1.166274493,non-significant
rh_G_oc-temp_med-Lingual_thickness,-0.057393879,0.068265487,1.165798807,non-significant
lh_S_front_sup_thickness,-0.055847319,0.076056145,1.118865693,non-significant
3rd-Ventricle,-0.055766014,0.07648497,1.1164239,non-significant
rh_S_front_sup_thickness,-0.055364962,0.078629123,1.10441657,non-significant
lh_G_oc-temp_med-Parahip_thickness,-0.053855915,0.087138377,1.059790534,non-significant
CC_Mid_Posterior,-0.053546604,0.088971024,1.050751409,non-significant
lh_S_collat_transv_post_thickness,-0.05314455,0.091399378,1.039056758,non-significant
4th-Ventricle,-0.052649119,0.094464567,1.024731064,non-significant
lh_G_pariet_inf-Supramar_thickness,-0.052242618,0.097040533,1.013046825,non-significant
lh_G&S_subcentral_thickness,-0.052087867,0.098035793,1.008615334,non-significant
Right-Cerebellum-White-Matter,-0.050384513,0.109536826,0.960439847,non-significant
lh_G_insular_short_thickness,-0.049476506,0.116089007,0.935208903,non-significant
