Brain-region,NLL,EV,MSLL,BIC,Skew,Kurtosis
Right-Caudate,153362.4383,0.287197636,-0.17431509,306764.5275,0.028527357,0.438538426
Right-Putamen,155917.5491,0.389586923,-0.254150082,311874.7493,-0.186171563,1.161582461
Right-Pallidum,137874.4589,0.283099947,-0.18218959,275788.5688,-0.035528128,0.44116795
Right-Hippocampus,148826.9699,0.216264164,-0.12145591,297693.5902,0.017858057,0.214835418
Right-Amygdala,135661.2334,0.247426052,-0.136306826,271362.1178,-0.000815351,0.456583622
Right-Accumbens-area,120204.4282,0.363170628,-0.236705883,240448.5074,0.055853219,0.530468803
Right-VentralDC,147905.6907,0.235918419,-0.135368552,295851.032,0.323614609,1.040466374
Right-vessel,81619.10607,0.269908592,-0.129697238,163277.7618,-0.765650727,3.236801239
Right-choroid-plexus,130460.6546,0.703897946,-0.526318101,260960.9568,0.037173551,0.346683894
5th-Ventricle,2815.589497,0.064159505,-0.330009813,5659.227455,5.973617233,70.6834544
WM-hypointensities,159788.5121,0.265971649,-0.308232854,319616.6568,1.068110838,3.717608742
non-WM-hypointensities,5437.465948,0.535297821,-1.350381629,10904.75771,2.541951304,12.62857619
Optic-Chiasm,108129.4868,0.541111732,-0.660361371,216298.6243,-1.065524222,3.497369418
CC_Posterior,129583.5692,0.264175201,-0.155831607,259206.7892,-0.257535422,1.592945171
CC_Mid_Posterior,120989.7914,0.205224097,-0.126099634,242019.2327,-0.010275635,0.561441807
CC_Central,124617.2064,0.336093442,-0.283683949,249274.0635,-0.091349849,0.32922015
CC_Mid_Anterior,125053.931,0.279398497,-0.225873324,250147.5128,0.129424224,0.214374034
CC_Anterior,129396.3649,0.139748438,-0.076557746,258832.3807,0.105261998,0.388834099
BrainSegVol,259017.0765,0.330911348,1.802396043,518073.7705,-12.63014786,169.9235029
BrainSegVolNotVentSurf,258528.1697,0.34935,2.049726242,517095.9569,-12.61685427,169.694676
lhCortexVol,231844.3922,0.600292248,-0.466681444,463728.4353,-0.106817922,0.015025199
rhCortexVol,231868.6662,0.598673206,-0.463590048,463776.9833,-0.112734156,0.064544812
CortexVol,245724.8682,0.602135746,-0.468136903,491489.3874,-0.104534429,0.016548627
